Name,Review Date,Verified,Type of Traveller,Month Flown,Route,Class,Sentiment,Origin,Destiny,Scale,Scale_bool,Or_country,Dst_country,Or_continent,Dst_continent,Or_lat,Dst_lat,Or_long,Dst_long,distance_km,Rev,year,month,day,Reviews_Simp,polarity,review_len,word_count
T Chui,2019-08-25,True,Business,August 2019,Singapore to Delhi,Economy Class,2,Singapore,Delhi,None,False,Singapore, India,Singapore,Delhi,1.357107,28.6273928,103.8194992,77.1716954,4137.913432324618," 
Early morning flight to Jakarta, on the A350-900, with a 3-class configuration. The overall ambience of the cabin is bright and airy, and the newest version of the in-flight entertainment is a big bonus for this short hop flight. Seating is comfortable for this duration of flight (way better than the experience in an A320 or B737). We left on time, and the crew were then rushing to serve breakfast. Food was reasonably good (omelette or nasi lemak), and we landed on time also. Crew were a little rushed and courteous rather than friendly, but good enough. I appreciated that the crew were meticulous about asking passengers to raise their seats to the upright position for the meal service, small things like this help in economy.the crew were meticulous",2019,08,25,early morning jakarta configuration overall ambience cabin bright airy newest version inflight entertainment big bonus short hop seating comfortable duration way better experience left time crew rushing serve breakfast food reasonably good omelette nasi lemak landed time also crew little rushed courteous rather friendly but good enough appreciated crew meticulous asking passengers raise seats upright position meal service small things like help economythe crew meticulous,0.23984375000000002,475,65
Sahil Arora,2019-08-24,True,Family Leisure,August 2019,Los Angeles to  Singapore,Economy Class,0,Los Angeles, Singapore,None,False, United States,Singapore,Los Angeles,Singapore,34.0536909,1.357107,-118.242766,103.8194992,14132.788391728258,"  Singapore to Delhi. This was our return journey on SQ406 (SIN-DEL) after we arrived in singapore 10 days before with them on SQ401 (which was definitely very good) Things took a U-turn here. The crew onboard was RUDE to the core. No courtsey, Zero on management. We were assigned seats at the end of the plane for 5 people. At the time of serving food, they served the entire plane before us, rows ahead of us and rows behind us, but did not offer us any food. after 2 hours of takeoff, with the entire plane almost dozed off after their meals, they came to us only to inform, they have no food available. Only 1 tray, that too with Fish. We were with a kid, hungry. Had we have known this, we would have had our own meal at the airport. On confronting them, they could only apologize. But somehow managed to get a veg tray from somewhere and we fed the little one. The entire journey we got nothing to eat! We travelled without meals.   6 hours journey. They had no remorse. Called them to serve water, they did not bother to serve it.  It was a nightmare of a flight. 4 of us were hungry throughout and were waiting for this nightmare to end as soon as possible. We could have done online checkin and booked our meals beforehand, but with the child, this is not possible to do so online and we had to do a manual checkin. Was this our fault? I don't think so.We travelled without meals",2019,08,24,delhi return journey sindel arrived days definitely good things took uturn crew onboard rude core no courtsey zero management assigned seats end people time serving food served entire us rows ahead us rows behind us but not offer us food hours takeoff entire almost dozed off meals came us inform no food available tray fish kid hungry known would meal airport confronting could apologize but somehow managed get veg tray somewhere fed little one entire journey got nothing eat travelled without meals hours journey no remorse called serve water not bother serve nightmare us hungry throughout waiting nightmare end soon possible could done online checkin booked meals beforehand but child not possible online manual checkin fault dont think sowe travelled without meals,0.021249999999999998,770,122
P Caltiros,2019-08-21,True,Family Leisure,July 2019,Johannesburg to Singapore,Premium Economy,1,Johannesburg,Singapore,None,False, South Africa,Singapore,Johannesburg,Singapore,-26.205,1.357107,28.049722,103.8194992,8664.033950527737,"   Los Angeles to Singapore, 16.5hrs overnight. 2 adults, 3 children (7yrs, 5yrs and 8 months old) at gate \i am told that the entertainment system does not work. 4 rows of seats are not working. in flight for 16.5hrs, no lights as windows required to be shut, no lights on the seats, not charger for phone, no entertainment, they offered me to move my 2 kids to the back of the airplane so they can watch movies, I guess they have no children. then offered me ~$110 USD voucher to use on the flight for the inconvenience. I had to play with my kids, draw and color using my phone flashlight, my wife feeding my 8mths old with her phone flashlight. This was Premium Economy seats that do not cost few dollars??  I complained and their response was, ""you received a voucher for the inconvenience and you rejected the two available seats.""  I understand some issues are out of their control such as the system not operating but a $110 for the inconvenience, also, on the way back, our system works, but other passengers experience the same. Completely disappointed with Singapore Airlines Customer Relations. Will not travel with them again.Singapore Airlines customer review",2019,08,21,los angeles overnight adults children months old gate told entertainment system not work rows seats not working no lights windows required shut no lights seats not charger phone no entertainment offered move kids back airplane watch movies guess no children offered usd voucher use inconvenience play kids draw color using phone flashlight wife feeding old phone flashlight premium economy seats not cost dollars complained response received voucher inconvenience rejected two available seats understand issues control system not operating but inconvenience also way back system works but passengers experience completely disappointed customer relations will not travel againsingapore customer review,-0.06428571428571428,700,98
Ken Howie,2019-08-19,True,Couple Leisure,August 2019,Singapore to Canberra via Sydney,Premium Economy,2,Singapore,Canberra,Sydney,True,Singapore, Australia,Singapore,Canberra,1.357107,-35.2975906,103.8194992,149.1012676,6210.823792805072," Johannesburg to Singapore in premium economy on the recently introduced second flight. Priority boarding after business class allows time to settle in, with ample space in the overhead lockers. Just three rows in the cabin, with good legroom and comfortable seats, which have a decent recline. There is a footrest on the seat in front, and a calf rest attached to the seat, which seems to serve no purpose other than create problems for the crew in trying to them stowed for landing. Good sized TV screen which is easy to operate. Overall the hard product is good. However there is nothing premium about the service, which is strictly economy. There are no pre take-off drinks, and there was no bar service after take-off prior to the meal. This may have been due to the late hours departure and a wish to serve the meal as quickly as possible, but one would have thought that with a maximum of 24 in premium economy this would not have been a big issue. Amenity kits are no longer handed out, but the menu indicated they were available on request. Meals were tasty, but the same as economy, served on plastic trays. No sign of table cloths and proper crockery as shown on the website. Drinks are served in plastic as opposed to glasses, and in small quantities. Wine was a basic white or red in a small plastic tumbler half filled. Fruit juice slightly larger serving, but still meagre. No offers of refills until the trays were eventually removed. There are no dedicated crew in premium economy. Service starts with premium, but then proceeds through economy, with clearing starting at the back of economy, so that premium economy is the last to be cleared. With the time difference the second meal was lunch. This time I ordered champagne, served in a plastic stemmed “glass” amounting to half a normal glass, again no refills offered until trays cleared, at which time the champagne had disappeared from the trolly. The main reason for choosing premium economy is space and comfort, on which there are no complaints. However notwithstanding the fact that Singapore economy is amongst the best, it is not a premium economy service. Having chosen to pay a significant premium over economy, it is disappointing that the enhancements provided by other airlines are not provided.there is nothing premium about the service",2019,08,19,johannesburg premium economy recently introduced second priority boarding business class allows time settle ample space overhead lockers three rows cabin good legroom comfortable seats decent recline footrest seat front calf rest attached seat seems serve no purpose create problems crew trying stowed landing good sized tv screen easy operate overall hard product good however nothing premium service strictly economy no pre takeoff drinks no bar service takeoff prior meal may due late hours departure wish serve meal quickly possible but one would thought maximum premium economy would not big issue amenity kits no longer handed but menu indicated available request meals tasty but economy served plastic trays no sign table cloths proper crockery shown website drinks served plastic opposed glasses small quantities wine basic white red small plastic tumbler half filled fruit juice slightly larger serving but still meagre no offers refills trays eventually removed no dedicated crew premium economy service starts premium but proceeds economy clearing starting back economy premium economy last cleared time difference second meal lunch time ordered champagne served plastic stemmed “glass” amounting half normal glass no refills offered trays cleared time champagne disappeared trolly main reason choosing premium economy space comfort no complaints however notwithstanding fact economy amongst best not premium economy service chosen pay significant premium economy disappointing enhancements provided not providedthere nothing premium service,0.09421296296296297,1552,221
Robyn McLeod,2019-08-18,True,Couple Leisure,August 2019,Singapore to Perth,Economy Class,0,Singapore,Perth,None,False,Singapore, Australia,Singapore,Perth,1.357107,-31.9558933,103.8194992,115.8605855,3899.741181439742, Singapore to Canberra via Sydney. I have flown many times with economy airlines such as Jetstar and AirAsia. But my first ever flights with Singapore Airlines which I had high hopes for were a washout. The economy seats are much smaller than AirAsia and all you are getting for your extra dollars is a menu and entertainment options. Also I have an injury and asked for help getting on and off the plane before the crush. They made me get a medical certificate to prove the injury but let me on with every one else. And with a broken foot those small seats were even worse. I will return to AirAsia for future flights.will return to AirAsia for future flights,2019,08,18,canberra via sydney flown many times economy jetstar airasia but first ever flights high hopes washout economy seats much smaller airasia getting extra dollars menu entertainment options also injury asked help getting off crush made get medical certificate prove injury but let every one else broken foot small seats even worse will return airasia future flightswill return airasia future flights,-0.012727272727272728,396,60
Elaine Loh,2019-08-08,True,Solo Leisure,August 2019,Amsterdam to Singapore,Business Class,2,Amsterdam,Singapore,None,False, Netherlands,Singapore,Amsterdam,Singapore,52.3730796,1.357107,4.8924534,103.8194992,10495.263377241241,"  Singapore to Perth. Seat layout was 1-2-1, although no skybed for such a short flight. The seats were narrower but still comfortable. I fell asleep even before take-off and then woke up after to set my seat flat. Due to jetlag, I spent the entire flight asleep and the air stewardess asked if she could get me something else to eat when we were about to touch down. Great service. I will definitely fly Singapore again - although I am not sure if business class is worth the short trip.definitely fly Singapore again",2019,08,08,perth seat layout although no skybed short seats narrower but still comfortable fell asleep even takeoff woke set seat flat due jetlag spent entire asleep air stewardess asked if could get something else eat touch down great service will definitely fly although not sure if business class worth short tripdefinitely fly,0.18803418803418806,319,51
Elaine Loh,2019-08-08,False,Solo Leisure,August 2019,Singapore to Surabaya,Business Class,2,Singapore,Surabaya,None,False,Singapore, Indonesia,Singapore,Surabaya,1.357107,-7.2459717,103.8194992,112.7378266,1373.3877696206475,"  Singapore Airlines represents quality at its best - food, service, seats, entertainment. Champagne, juice or water upon boarding. With book the cook, I had chicken rice for lunch preceded by a satay appetizer and succeeded by cheese platter for dessert. The skybed folds out for a comfortable sleep. Service was very quick each time I pressed the call bell. Seat layout is 1-2-1. I still think Singapore Airlines business class is by far the best in the world due to wider seats that are more comfortable.quality at its best",2019,08,08,represents quality best food service seats entertainment champagne juice water upon boarding book cook chicken rice lunch preceded satay appetizer succeeded cheese platter dessert skybed folds comfortable sleep service quick time pressed call bell seat layout still think business class far best world due wider seats comfortablequality best,0.3885416666666667,341,48
P Bardanto,2019-08-05,True,Business,August 2019,Singapore to Beijing,Economy Class,0,Singapore,Beijing,None,False,Singapore, China,Singapore,Beijing,1.357107,39.9057136,103.8194992,116.3912972,4454.944413502913,"  Singapore to Surabaya. I always fly Singapore airlines for work, and it has been getting worse by the day. The flight is perpetually delayed. It seems like they do not have a good concept of punctuality. In addition, cabin crew are average in terms of service and pleasantness. the hard product in itself is not something to be lauded. However, among all of it, it has always been the late departure over and over is the one that I think is the biggest pain.flight is perpetually delayed",2019,08,05,surabaya always fly work getting worse day perpetually delayed seems like not good concept punctuality addition cabin crew average terms service pleasantness hard product not something lauded however among always late departure one think biggest painflight perpetually delayed,-0.09895833333333334,276,38
Eugene Lim,2019-08-03,True,Family Leisure,June 2019,Bangkok to Istanbul via Singapore,Economy Class,2,Bangkok,Istanbul,Singapore,True, Thailand, Turkey,Bangkok,Istanbul,13.7524938,41.0766019,100.4935089,29.052495,7467.489554948665,"  Singapore to Beijing in economy class and the A380 I took was only a 75% retrofitted plane (Econ Class left out). The seats, toilets, catering was ok but the crew seemed to be quite inattentive and the economy class on that A380 was old and shabby.  Other than that, food seems to be great but my flight had a 30min delay due to a drone flying around at Changi Airport 2nd runway so there was a single runway operation. Other than that it was great so thanks Singapore Airlines.crew seemed to be quite inattentive",2019,08,03,beijing economy class took retrofitted econ class left seats toilets catering ok but crew seemed quite inattentive economy class old shabby food seems great but delay due drone flying around changi airport runway single runway operation great thanks airlinescrew seemed quite inattentive,0.2754464285714286,287,42
Michael Schade,2019-07-30,True,Business,July 2019,Melbourne to Beijing via Singapore,Business Class,0,Melbourne,Beijing,Singapore,True, Australia, China,Melbourne,Beijing,-37.8142454,39.9057136,144.9631732,116.3912972,9087.04633473282,"  Bangkok to Istanbul via Singapore. BKK to SIN on a newish B789 with a great new Business Class seat; comfortable and great IFE with a large HD touchscreen screen. Lounge in Singapore a rather mediocre experience, overcrowded with average food offerings. SQ lounge in BKK was much better. The big disappointment of this trip was the ancient B772 on the SG to IST sector. It was the very old business class seat which is very very uncomfortable. IFE was poor due to the small non touch screen. As usual, no amenity kit, the fresh flowers in the washrooms have been replaced by tacky plastic flowers. It is very hard to understand why the airlines provides a really good hardware product on a 2h flight, but is not able to do the same on a 11h overnight flight. Service and food on both flights was just average. SQ does not even come close to the business class product of Qatar Airways which I usually fly long haul.not even close to Qatar Airways",2019,07,30,bangkok istanbul via bkk sin newish great new business class seat comfortable great ife large hd touchscreen screen lounge rather mediocre experience overcrowded average food offerings sq lounge bkk much better big disappointment trip ancient sg ist sector old business class seat uncomfortable ife poor due small non touch screen usual no amenity kit fresh flowers washrooms replaced tacky plastic flowers hard understand provides really good hardware product but not able overnight service food flights average sq not even come close business class product qatar airways usually fly long haulnot even close qatar airways,0.05365142104272541,622,94
L Xin,2019-07-29,True,Solo Leisure,April 2019,Singapore to Bangkok,Economy Class,2,Singapore,Bangkok,None,False,Singapore, Thailand,Singapore,Bangkok,1.357107,13.7524938,103.8194992,100.4935089,1418.9949219616608,"  Melbourne to Beijing via Singapore. Overall great experience and Singapore definitely have satisfied us. Upon boarding a hot towel was served. The seat was quite soft, reasonably wide and the legroom was above average. Two full meals were provided on the Melbourne to Singapore sector which was some of the highest quality airline food I have experienced in Economy Class, complemented by the usage of metal cutlery and the ice cream dessert. The only drawback from the flight would be the rather inconvenient Wi-Fi service with pretty much unacceptable pricing for the average user, although on-board SMS and calls were provided, given your carrier supports it on their side. Overall a great experience and does seem to be worth paying a little bit extra for.Overall great experience",2019,07,29,melbourne beijing via overall great experience definitely satisfied us upon boarding hot towel served seat quite soft reasonably wide legroom average two full meals provided melbourne sector highest quality food experienced economy class complemented usage metal cutlery ice cream dessert drawback would rather inconvenient wifi service pretty much unacceptable pricing average user although onboard sms calls provided given carrier supports side overall great experience seem worth paying little bit extra foroverall great experience,0.20855263157894735,534,73
Francis Wong,2019-07-28,False,Solo Leisure,July 2019,Sydney to Delhi via Singapore,Economy Class,2,Sydney,Delhi,Singapore,True, Australia, India,Sydney,Delhi,-33.8698439,28.6273928,151.2082848,77.1716954,10418.872347763261,"  Singapore to Bangkok return. In the past 10 year or so, we can clearly see many once premium airlines in the world have to resort to cost cutting, due to keen competition from low cost carriers and many other factors. Haven't not been on economy class of Singapore for quite some time, I decided to try it for it's a short haul flight plus it's price factor was very good this time. The usual high standard of SIA is there with the immaculately groomed kebaya-clad crew, and the good condition of the plane and its amenities etc. Hot towel service is still provided in economy class which is a nice touch. Menu is not given since it's a short sector. Hot drinks, cold beverages and meals are all served in one go, which cuts time and makes good sense. However, one can clearly see some cost cutting with the portion of the meal smaller, and the taste was rather bland and mediocre. Boeing 787 on the way to BKK was a fine plane, except the seat pitch and the aisle are all very narrow. Sat at the aisle, I was constantly bumped by the crew and passengers, there's almost nowhere foe me to hide as I wild be spilling onto my neighbour's space. It's quite frustrating really. Also the tray table is so close to my stomach, it's uncomfortable to say the least. Touch screen AVOD was very good, and pre-ordered duty free was dully delivered without delay. On return, SIA has a good lounge on concourse D of BKK airport, which is very close to the boarding gate, D6 or 7. A330, despite being an older plane, actually offered more seat pitch and slightly more space. No touch screen this time. The catering from BKK was better than from SIN. Overall, SIA still manage to being one of the top airlines in the world despite some cost cutting. Take advantage of their promotions, which can sometimes beat the budget airlines by the hands down.usual high standard of SIA is there",2019,07,28,bangkok return past year clearly see many premium world resort cost cutting due keen competition low cost carriers many factors havent not economy class quite time decided try short haul plus price factor good time usual high standard sia immaculately groomed kebayaclad crew good condition amenities etc hot towel service still provided economy class nice touch menu not given since short sector hot drinks cold beverages meals served one go cuts time makes good sense however one clearly see cost cutting portion meal smaller taste rather bland mediocre boeing way bkk fine except seat pitch aisle narrow sat aisle constantly bumped crew passengers theres almost nowhere foe hide wild spilling onto neighbours space quite frustrating really also tray table close stomach uncomfortable say least touch screen avod good preordered duty free dully delivered without delay return sia good lounge concourse bkk airport close boarding gate despite older actually offered seat pitch slightly space no touch screen time catering bkk better sin overall sia still manage one top world despite cost cutting take advantage promotions sometimes beat budget hands downusual high standard sia,0.07147727272727272,1179,182
C Kardikra,2019-07-28,True,Couple Leisure,July 2019,Melbourne to Athens via Singapore,Economy Class,2,Melbourne,Athens,Singapore,True, Australia, Greece,Melbourne,Athens,-37.8142454,37.9755648,144.9631732,23.7348324,14944.15445240956,"  Sydney to Delhi via Singapore. Amazing airline. Excellent customer service. Good food. But cannot understand how this, one of the best airline in the world, has ignored the plight of thousands of travellers who order special meal for so long. The problem is neither with the food nor the service standard of the crew. It is to do with the processes of serving the special meals. Special meals are first served. But no drinks are offered or served on demand. Either one should wait until the remaining passengers are served food with drinks and get a drink and let the nice food sit on the tray and let it get cold. Or eat the food without any drinks, not even water. Singapore Airline should change its processes so thst the crew should bring the same trolley containing the selection of drinks while serving the special meal and offer the same selection of drinks to passengers being served special meal.processes of serving special meals",2019,07,28,sydney delhi via amazing excellent customer service good food but cannot understand one best world ignored plight thousands travellers order special meal long problem neither food nor service standard crew processes serving special meals special meals first served but no drinks offered served demand either one wait remaining passengers served food drinks get drink let nice food sit tray let get cold eat food without drinks not even water change processes thst crew bring trolley containing selection drinks serving special meal offer selection drinks passengers served special mealprocesses serving special meals,0.3761904761904761,616,91
John Mathiopoulos,2019-07-25,True,Family Leisure,July 2019,Brisbane to Singapore,Economy Class,0,Brisbane,Singapore,None,False, Australia,Singapore,Brisbane City,Singapore,-27.4689682,1.357107,153.0234991,103.8194992,6152.084850077917,"  Such terrible service from the outset! After making the booking which included a code share arrangement for 2 adults with an infant, everything started well with a bassinet being requested. From that point I had to call at least four times with apparent issues with the names on itinerary even though they were correct from the outset. This issue arises again upon attempting online check in which wasn’t at all possible because one adults name was somehow written in twice, once as a Mr and one as a Mrs. called and requested a business class upgrade. Was told due to code share it wasn’t possible (hello I’m trying to give you my money)! Thereafter we arrived at the airport to a very rude staff member once again telling me the names were incorrect in the system, even though the night before I had the itinerary emailed to me from Singapore airlines customer call centre showing correct details, after the initial attempt to check in failed, which confirmed names were correct, I showed this document as proof, lady appeared uninterested. codeshare 2nd leg of journey had tickets produced at Melbourne airport by Singapore staff and after being flustered by this to and fro at check in I didn’t bother to check the seat allocation for the 2nd leg which didn’t have bassinet allocation. To our horror we discovered the Singapore Airlines check in lady had allocated us seats in different rows on opposite sides of the plane with a one year old! How can they be so unprofessional? The worst part, when transiting through SIN I approached the transfer counter of the codeshare airline, which is Singapore’s budget carrier Scoot and this helpful assistant was able to pair us together, making the MEL - SIN Singapore employees actions even worse. To top it off the flight wasn’t full, but also we cannot purchase additional baggage online due to once again the codeshare arrangement and furthermore we arrive at our final destination and discovered both our suitcases were broken with the wheels coming off before we exited the airport. Having flown many major international airlines overseas, I will never fly with Singapore again. It’s an indictment on Singapore Airlines that the service and experience on the 2nd leg operated by Scoot overall in SIN airport and on board was far superior to the Singapore airlines journey to SIN. If going Australia to Europe, I highly recommend you consider a Middle East airline that shows accountability and pride in their responsibility to fare paying passengers. My wife and I are absolutely appalled by the service we received from Singapore Airlines. We have made this same journey to Europe 7 times as leisure travellers in the last 8 years and this was by far the worst experience.absolutely appalled by the service",2019,07,25,terrible service outset making booking included code share arrangement adults infant everything started well bassinet requested point call least four times apparent issues names itinerary even though correct outset issue arises upon attempting online check wasn’t possible one adults name somehow written twice mr one mrs called requested business class upgrade told due code share wasn’t possible hello i’m trying give money thereafter arrived airport rude staff member telling names incorrect system even though night itinerary emailed customer call centre showing correct details initial attempt check failed confirmed names correct showed document proof lady appeared uninterested codeshare leg journey tickets produced melbourne airport staff flustered fro check didn’t bother check seat allocation leg didn’t bassinet allocation horror discovered check lady allocated us seats different rows opposite sides one year old unprofessional worst part transiting sin approached transfer counter codeshare singapore’s budget carrier scoot helpful assistant able pair us together making mel sin employees actions even worse top off wasn’t full but also cannot purchase additional baggage online due codeshare arrangement furthermore arrive final destination discovered suitcases broken wheels coming off exited airport flown many major international overseas will never fly it’s indictment service experience leg operated scoot overall sin airport board far superior journey sin if going australia europe highly recommend consider middle east shows accountability pride responsibility fare paying passengers wife absolutely appalled service received made journey europe times leisure travellers last years far worst experienceabsolutely appalled service,-0.10364285714285713,1751,239
John Forth,2019-07-19,True,Couple Leisure,July 2019,Munich to Singapore,Business Class,1,Munich,Singapore,None,False, Germany,Singapore,Munich,Singapore,48.1371079,1.357107,11.5753822,103.8194992,10064.808361831143,"  For about 40 years my wife have used business class (including Singapore Airlines many times) for international travel;. On 6 July 2019 we flew Business Class, Brisbane to Singapore on SQ 246. For this Flight, Cabin Crew were excellent, food was very good, cabin was very clean. Seats were very wide. However, for sleeping they were the most uncomfortable seats we have ever encountered. They were hard, you had to lie at an angle and fit your feet into a very small cavity. They were sufficiently uncomfortable that we would never choose Singapore Airlines again for an overnight flight.most uncomfortable seats",2019,07,19,years wife used business class including many times international travel july flew business class brisbane sq cabin crew excellent food good cabin clean seats wide however sleeping uncomfortable seats ever encountered hard lie angle fit feet small cavity sufficiently uncomfortable would never choose overnight flightmost uncomfortable seats,0.06875000000000002,341,47
H Meares,2019-07-18,True,Solo Leisure,July 2019,Jogjakarta to Amsterdam via Singapore,Premium Economy,2,Jogjakarta,Amsterdam,Singapore,True, Indonesia, Netherlands,Yogyakarta,Amsterdam,-7.8011945,52.3730796,110.364917,4.8924534,11741.161830628203,"  Munich to Singapore. Simply the best! Singapore Airlines really delivers a best-in-class experience – seat, food, and entertainment were all fantastic. But where SQ really stands out is service; I've never seen cabin staff put in such dedication and professionalism: they remembered passenger preferences and native language throughout the 12 hour journey, were always there if you needed anything, and even personally showed passengers to their seats in economy & helped to get bags into the bins. Premium Economy really delivers a competitive product: notably more space and comfort than Economy without the expense or extra frills of Business (I'm 6'0"" and couldn't touch the bulkhead with my feet even when I stretched out and tried). Most comfortable Premium Economy seat I've tried.Simply the best!",2019,07,18,munich simply best really delivers bestinclass experience – seat food entertainment fantastic but sq really stands service ive never seen cabin staff put dedication professionalism remembered passenger preferences native language throughout hour journey always if needed anything even personally showed passengers seats economy helped get bags bins premium economy really delivers competitive product notably space comfort economy without expense extra frills business im couldnt touch bulkhead feet even stretched tried comfortable premium economy seat ive triedsimply best,0.35000000000000003,574,77
Vita Westerhout,2019-07-15,True,Family Leisure,July 2019,Bangkok to Singapore,Economy Class,2,Bangkok,Singapore,None,False, Thailand,Singapore,Bangkok,Singapore,13.7524938,1.357107,100.4935089,103.8194992,1418.9949219616608,"  Jogjakarta to Amsterdam via Singapore. Good aircraft and amazing cabin crew service. I got a special assistant because I flew myself carrying 1 baby aged 6 months and 1 child aged 4 years. it was amazing for me to feel service in the air that I had never received before. While I was carrying a baby, there was a cabin crew coming to calm down my daughter with earplugs. Then came the cabin crew carrying candy and feeding my child. then came the cabin crew again carrying cookies and finally there was another cabin crew carrying some pillows and putting them on my child's back. Thanks for that amazing service.amazing cabin crew service",2019,07,15,jogjakarta amsterdam via good aircraft amazing cabin crew service got special assistant flew carrying baby aged months child aged years amazing feel service air never received carrying baby cabin crew coming calm down daughter earplugs came cabin crew carrying candy feeding child came cabin crew carrying cookies finally another cabin crew carrying pillows putting childs back thanks amazing serviceamazing cabin crew service,0.25013227513227515,426,62
Keith Tong,2019-07-14,True,Solo Leisure,July 2019,Zurich to Singapore,Economy Class,2,Zurich,Singapore,None,False, Switzerland,Singapore,Zurich,Singapore,47.3744489,1.357107,8.5410422,103.8194992,10297.468392609813," Bangkok to Singapore. Originally booked onto a later flight which was to be operated by a B777, but was offered an earlier option when I checked in rather early. So ended up flying on this B787, which didn't have a first class but only business and economy. Food was quite good - Choice of prawn noodles or omelette with beef sausage (Chose the latter). IFE was decent but have seen better ones at other airlines. Cabin was not cool enough and felt a bit stuffy.Food was quite good",2019,07,14,bangkok originally booked onto later operated but offered earlier option checked rather early ended flying didnt first class but business economy food quite good choice prawn noodles omelette beef sausage chose latter ife decent but seen better ones cabin not cool enough felt bit stuffyfood quite good,0.21805555555555556,302,47
P Larsten,2019-07-13,True,Couple Leisure,July 2019,Paris to Singapore,Business Class,2,Paris,Singapore,None,False, France,Singapore,Paris,Singapore,48.8534951,1.357107,2.3483915,103.8194992,10733.75205205757,"  Zurich to Singapore. Overall a good flight. Our overall impression was pretty good. The crew was polite but seemed disorganized. The quality of the food was reasonable. We ordered via book the cook but the main meal was served lukewarm and the meat was very dry and hard. My husband was offered a dessert, I had to ask for it. The seat was ok,but quite hard in my opinion. The control of the seats did not always respond.overall impression was pretty good",2019,07,13,zurich overall good overall impression pretty good crew polite but seemed disorganized quality food reasonable ordered via book cook but main meal served lukewarm meat dry hard husband offered dessert ask seat okbut quite hard opinion control seats not always respondoverall impression pretty good,0.19305555555555554,297,44
G Finn,2019-07-11,True,Couple Leisure,July 2019,Johannesburg to Singapore,Economy Class,2,Johannesburg,Singapore,None,False, South Africa,Singapore,Johannesburg,Singapore,-26.205,1.357107,28.049722,103.8194992,8664.033950527737, Paris to Singapore. The cabin of SIA A380 looks a little shabby & old especially the cushion cover. May needs some refurbishment if the aircraft will still be service for another decade.A380 looks a little shabby,2019,07,11,paris cabin sia looks little shabby old especially cushion cover may needs refurbishment if aircraft will still service another looks little shabby,-0.06875,147,22
Guido Bornemann,2019-07-09,True,Family Leisure,July 2019,Mumbai to Singapore,Business Class,0,Mumbai,Singapore,None,False, India,Singapore,Mumbai,Singapore,19.0785451,1.357107,72.878176,103.8194992,3902.0153131894876,"  We flew Johannesburg to Singapore on SQ479 on July 7th in Business Class and experienced the worst most arrogant crew ever. I travelled with my wife and 2 Daughters (2 and 4 years old) and we were assigned seats 19F and 20D and F. As the seats are very closed, we would have preferred to sit all in one row, so we asked at Check In to be seated in one row, either 19 or 20. They told us it was fully Business Class, but they will leave a note and we can check at the Gate. We did, but the passengers on the window seats did not want to move, which was OK to us as they have been faster than us, so it is OK. Upon closing of the doors, we saw that Seat 20K was free, so I asked the flight attendant if my wife can move then from 19F, so we can sit in one row. She said this is a cockpit seat and she needs to check with the pilot. Upon departure she came back and told us that the pilot does not want to change the seat to 19F or 21K. Really? A pilot who used this seat for 30 minutes does not want to move one row back to let a family with 2 Kids sit in one row? Maybe SQ needs to inform pilots who is paying their high salary.the worst most arrogant crew",2019,07,09,flew johannesburg july business class experienced worst arrogant crew ever travelled wife daughters years old assigned seats f seats closed would preferred sit one row asked check seated one row either told us fully business class but will leave note check gate but passengers window seats not want move ok us faster us ok upon closing doors saw seat free asked attendant if wife move sit one row said cockpit seat needs check pilot upon departure came back told us pilot not want change seat really pilot used seat minutes not want move one row back let family kids sit one row maybe sq needs inform pilots paying high salarythe worst arrogant crew,0.05846153846153846,649,113
Shafee Bhure,2019-07-04,True,Solo Leisure,July 2019,Bangkok to Singapore,Economy Class,2,Bangkok,Singapore,None,False, Thailand,Singapore,Bangkok,Singapore,13.7524938,1.357107,100.4935089,103.8194992,1418.9949219616608,"  Mumbai to Singapore. One of the best inflight services I have experienced. The inflight staff was the highlight of the entire experience. Warm, courteous and always ready with a smile. Just lovely people helping and serving all around.One of the best inflight services",2019,07,04,mumbai one best inflight services experienced inflight staff highlight entire experience warm courteous always ready smile lovely people helping serving aroundone best inflight services,0.5555555555555556,185,24
